Ward,Name,Post_code,Address,Opening time
,Bermondsey and Rotherhithe Children and Family Centres,SE16 2PE,"Park Lodge, Hawkstone Rd, London SE16 2PE",Open Tuesdays from 10am to 12 noon - starting 17 January 2023 
,Haddon Hall Baptist Church,SE1 4TR,"22 Tower Bridge Rd, London SE1 4TR",Open every Wednesday from 10am to 12pm.
,The RJ4ALL Rotherhithe Community Centre,SE16 2LJ,"Rotherhithe Community Centre, 30 Plough Way, SE16 2LJ","Monday to Friday 9:30am to 5:30pm. Tuesdays food bank and clothes mending 11am to 2pm, cafe connect 2pm. Thursday lates (coffee tea and music session 5pm, step class 6.15pm) until 8pm."
,The Bridge,SE1 0NQ,"73-81 Southwark Bridge Road, SE1 0NQ",Every Wednesday from 10am to 5pm at The Bridge Cafe starting from Wednesday the 18th of January 2023. 
,London LGBTQ+ Community Centre,SE1 9JH,"60-62 Hopton Street, SE1 9JH","Wednesday to Sunday, 12 noon to 8pm."
,Southwark Pensioners,SE5 0HQ,"Southwark Pensioners Centre, 305-307 Camberwell Rd, SE5 0HQ","We will be adding in sessions on Thursday and Friday afternoons from 12.15pm to 5pm and alternate Saturdays 10am to 4pm – Social Thursday, Feelgood Friday, and sharing Saturday."
,Copleston Centre,SE15 4AN,"Copleston Centre, Copleston Road, Peckham SE15 4AN",‘Soup Socials’ will operate from 12pm to 2pm on Mondays.
,Southwark Carers,SE5 0EN,"3rd Floor, Walworth Methodist Church, 54 Camberwell Road, SE5 0EN","Our Carers Cafe will be open every Friday for cared-for residents of Southwark. The Cafe will offer food, a filling meal including a dessert, and non-alcoholic drinks, teas coffees and squash. The Cafe will also offer entertainment in the form of music, dancing, films, and creative craft sessions, depending on attendees' interests. Attendees will also have access to our vast library of books, that are available to borrow."
,Prince of Peckham,SE15 5JA,"1 Clayton Road, SE15 5JA",Come in for a free hot drink on chatty Tuesdays from 2pm to 4pm.
,Elimhouse,SE15 4RQ,"86-88 Bellenden Road, Peckham SE15 4RQ",Local residents can come for a hot meal at a weekly lunch club: Wednesday 11am to 5pm.
,Camberwell Library,SE5 7AL,"48 Camberwell Green, SE5 7AL",Weekly tea/coffee sessions: Mondays 11am. Library opening times: Monday: 9am to 8pm.Tuesday: 9am to 8pm. Wednesday: 9am to 8pm. Thursday: 9am to 8pm. Friday: 9am to 8pm. Saturday: 9am to 5pm. Sunday: 12pm to 4pm
,South London Gallery,SE5 8UH,65 Peckham Road and 82 Peckham Road SE5 8UH,Tuesday to Sunday: 11am to 6pm. Late opening every Wednesday until 9pm
,All Saints Church,SE15 4QS,"Blenheim Grove, Peckham SE15 4QS","Open Tuesday morning and Wednesday and Saturday evening. Tuesday: community cafe at All Saints Church, 9.15am to 11.15am"
,Somali Integration & Development Association (SIDA),SE5 7HN,"Unit 50, Camberwell Business Centre, 99- 103 Lomond Grove SE5 7HN",Open Wednesdays from 10am to 12 noon (free Wi-Fi and refreshments provided). Open Thursdays from 12 noon to 2pm for a sewing class and coffee.
,St Luke's Community Cafe,SE15 6DT,"St Luke's Church Hall, Chandler Way, London SE15 6DT",Open Wednesdays from 10am to 2pm
,Together at Pecan,SE15 5SE,"121a Peckham High Street, SE15 5SE","Every Monday and Tuesday, 1pm to 3pm. "
,Acorn Tenants and Residents Association (TRA),SE15 2TU,"95b Meeting House Ln, London SE15 2TU",Tuesdays 11am to 2pm
,Link Age Southwark,SE22 8RH,"United Reformed Church, Tell Grove, SE22 8RH",Open every Friday 1pm to 3pm. 
,Christ Church,SE22 0JT,"Christ Church, 263 Barry Road, Dulwich, SE22 0JT",Wednesday from 10am to 12 noon.
,Lordship Lane Church,SE22 8JG,"287, Lordship Lane, East Dulwich, SE22 8JG","Tuesday: coffee morning 10am to 12 noon. Thursday: over-60s lunch club that provides healthy, nourishing, and sustainable food. The food provided is culturally appropriate for Black Afro-Caribbean visitors. 12 noon to 2pm"
,Daffodil Cafe,SE15 3QQ,"Nunhead Community Centre, 5 Nunhead Green, SE15 3QQ",Monday: 11am to 1pm
,Ivy Club (Green Nunhead),SE15 3QQ,"5 Nunhead Green, Nunhead, SE15 3QQ",Thursday: 10am to 2.30pm
,Dulwich Library,SE22 8NB,"368 Lordship Lane, SE22 8NB ",Weekly Film Club (tea and coffee): Mondays 1pm. Library opening times: Monday: 9am to 8pm. Tuesday: 10am to 8pm. Wednesday: 9am to 8pm. Thursday: 9am to 8pm. Friday: 9am to 8pm. Saturday: 9am to 5pm. Sunday: 12pm to 4pm  
,Grove Vale Library,SE22 8EF,"18-22 Grove Vale, London SE22 8EF",Weekly tea/coffee sessions: Fridays 11am. Library opening times: Monday: 10am to 7pm. Tuesday: 10am to 7pm. Wednesday: closed. Thursday: 10am to 7pm. Friday: 10am to 3pm. Saturday: 10am to 5pm. Sunday: closed  
,Nunhead Library,SE15 3RB,"88-138 Gordon Rd, SE15 3RB",Weekly tea/coffee sessions: Wednesdays 11am. Library opening times: Monday: 2pm to 7pm. Tuesday: 2pm to 7pm. Wednesday: 10am to 3pm. Thursday: 2pm to 7pm. Friday: 10am to 3pm. Saturday: 10am to 5pm. Sunday: closed
,Kingswood Tenants and Residents Association (TRA),SE21 8QW,"Tefler House, Seeley Drive SE21 8QW",Every Wednesday from 11am to 2pm
,Walworth Living Room (Pembroke House),SE17 2JU,"Walworth Living Room, All Saints Hall, Surrey Square, SE17 2JU",Thursday and Friday: 10am to 3pm.
,Draper Hall,SE17 3AN,"Draper Hall, Hampton Street, SE17 3AN",Wednesday: 10am to 3pm
,Mental Fight Club,SE17 3AN,"Draper Hall, Hampton Street, SE17 3AN",
,British Legion,SE17 3RD,"34 Gaza St, SE17 3RD",Monday and Thursday: 10am to 4pm
,Golden Oldies,SE5 0EN,"Walworth Methodist Church Hall, 54 Camberwell Road SE5 0EN",Tuesday: 10am to 3pm
,Southwark Heritage Centre and Walworth Library,SE17 1RW,"147 Walworth Rd, SE17 1RW",Weekly tea/coffee sessions: Monday at 11am. Library opening times: Monday: 10am to 8pm. Tuesday: 10am to 8pm. Wednesday: 10am to 8pm. Thursday: 10am to 8pm. Friday: 10am to 8pm. Saturday: 10am to 5pm. Sunday: 12pm to 4pm
,Brandon Library,SE17 3NH,"Maddock Way, SE17 3NH",Weekly tea/coffee sessions: Thursday 2pm. Library opening times: Monday: 2pm to 7pm. Tuesday: 2pm to 7pm. Wednesday: closed. Thursday: 2pm to 7pm. Friday: 10am to 3pm. Saturday: 10am to 5pm. Sunday: closed .
,Brandon 3 Tenants and Residents Association (TRA) ,SE5 0TB,"9 Grimsel Path, SE5 0TB",Fridays from 12 noon to 9pm 
Richmond,Mortlake Community Association,SW14 8EZ,"Mortlake Hall, 30 Mullins Path, Mortlake, SW14 8EZ",Wednesday and Thursday 12 noon to 3pm
,OSO Arts Centre,SW13 0LF,"Community Hall, 49 Station Road, Barnes, SW13 0LF",Monday to Friday 9am to 6pm. Saturday 9am to 4pm. Sunday 10am to 4pm
,Sheen Lane Centre,SW14 8LP,"74 Sheen Lane, East Sheen, SW14 8LP",Wednesday 10.30am to 12 noon
,St Mary's Church,SW13 9HL,"Church Road, Barnes, London, SW13 9HL",Thursday 10am to 12 noon
,All Saints Parish Church,TW12 3RG,"The Avenue, Hampton, TW12 3RG",Wednesday: 12 noon to 3pm. First Thursday of the month: 10.30am to 12 noon. Third Thursday of the month: 2.30 to 4pm
,Hampton Inspired Hub,TW12 2JA,"The Bungalow, 3 Ashley Road, Hampton, TW12 2JA","Monday to Sunday, 9am to 5pm"
,St James's Church,TW12 1DQ,"St James's Road, Hampton Hill, TW12 1DQ","Mondays, Wednesday and Thursdays 12.30 to 3.30pm"
,Cambrian Community Centre,TW10 6SN,"Caplan Court, 1 Grove Road, Richmond, TW10 6SN",Tuesday 2 to 4pm
,Museum of Richmond,TW9 1TP,"Second Floor, Old Town Hall, Whittaker Avenue, Richmond, TW9 1TP",Tuesday to Friday 11am to 5pm. Saturday 11am to 4pm
,Vineyard Community Centre,TW10 6AQ,"The Vineyard, Richmond, TW10 6AQ","Monday to Friday, 1 to 3.30pm"
,Peter & Paul Centre,TW11 8PB,"Bychurch End, Church Road, Teddington, TW11 8PB",Monday 1.30 to 4.30pm (Run by the Teddington Community Cafe)
,St Mark's Church,TW11 9DE,"17 St Mark's Road, Teddington, TW11 9DE",Wednesday 10am to 12 noon
,St Michael's Church,TW11 0SP,"Wilcox Road, Teddington, TW11 0SP",Wednesday 2 to 4pm
,Teddington Baptist Church,TW11 8PF,"17 Church Road, Teddington, TW11 8PF",Wednesday 9.30am to 12.30pm
,Teddington Methodist Church,TW11 8TP,"Stanley Road, Teddington, TW11 8TP",Saturday 10.30am to 12.30pm
,Teddington Salvation Army,TW11 8PF,"27 Church Road, Teddington, TW11 8PF",Thursday 4 to 7pm
,ETNA Community Centre,TW1 2AR,"13 Rosslyn Road, Twickenham, TW1 2AR","Monday, Wednesday and Friday 3 to 5.30pm"
,The Turk's Head,TW1 1LF,"28 Winchester Road, Twickenham, TW1 1LF",Monday to Saturday 12 noon to 11pm. Sunday 12 noon to 9pm
,Twickenham Congregational Church,TW2 5QA,"First Cross Road, Twickenham, TW2 5QA",Friday 12 noon to 3pm
,Homelink Day Respite Centre,TW2 6DE,"Hospital Bridge Road, Whitton, TW2 6DE",Wednesday 12 noon to 3pm
,Whitton Community Centre,TW2 6JL,"Percy Road, Whitton, TW2 6JL",Thursday 10am to 5pm. Friday 1 to 9pm. Saturday 3 to 8pm. Sunday 1 to 6pm
Redbridge,Aldersbrook Library,E12 5HQ,"Aldersbrook Library, 2a Park Road, London, E12 5HQ",
,Clayhall Library,IG5 0LQ,"CLAYHALL LIBRARY, 1 CLAYBURY BROADWAY, CLAYHALL, ILFORD, IG5 0LQ",
,Fullwell Cross Library,IG6 2EA,"FULLWELL CROSS LIBRARY, 140 HIGH STREET, BARKINGSIDE, ILFORD, IG6 2EA",
,Gants Hill Library,IG2 6LA,"GANTS HILL LIBRARY, 490 CRANBROOK ROAD, ILFORD, IG2 6LA",
,Goodmayes Library,IG3 9QB,"GOODMAYES LIBRARY, 76 GOODMAYES LANE, Goodmayes, ILFORD, IG3 9QB",
,Hainault Library,IG7 4DD,"HAINAULT LIBRARY, 100 MANFORD WAY, CHIGWELL, IG7 4DD",
,Holy Trinity South Woodford,E18 1QQ,"HOLY TRINITY CHURCH, HERMON HILL, LONDON, E18 1QQ",
,Keith Axon Library,RM6 4XB,"CHADWELL HEATH LIBRARY, KEITH AXON CENTRE, 160 GROVE ROAD, Chadwell Heath, ROMFORD, RM6 4XB",
,Redbridge Central Library,IG1 1EA,"CENTRAL LIBRARY, CLEMENTS ROAD, ILFORD, IG1 1EA",
,Salway Evangelical Church,IG8 9BW,"SALWAY EVANGELICAL CHURCH, FOREST APPROACH, WOODFORD GREEN, IG8 9BW",
,Seven Kings Library,IG3 8RQ,"SEVEN KINGS LIBRARY, 679 HIGH ROAD, Seven Kings, ILFORD, IG3 8RQ",
,South Woodford Library,E18 2QS,"SOUTH WOODFORD LIBRARY, 116 HIGH ROAD, South Woodford, LONDON, E18 2QS",
,St Mary's Church Woodford,E18 2PA,"ST MARYS CHURCH, HIGH ROAD, SOUTH WOODFORD, E18 2PA",
,St Paul's Church Hainault,IG7 4NZ,"ST PAULS CHURCH, ARROWSMITH ROAD, CHIGWELL, IG7 4NZ",
,VHP Ilford Hindu Centre,IG1 1EE,"VHP ILFORD HINDU CENTRE, 43 CLEVELAND ROAD, ILFORD, IG1 1EE",
,Vine United Reformed Church,IG1 1JH,"THE VINE UNITED REFORMED CHURCH, RICHES ROAD, ILFORD, IG1 1JH",
,Wanstead Library,E11 2RQ,"WANSTEAD LIBRARY, SPRATT HALL ROAD, Wanstead, LONDON, E11 2RQ",
,Woodford Green Library,IG8 0DX,"WOODFORD GREEN LIBRARY, SNAKES LANE EAST, WOODFORD GREEN, IG8 0DX",
Newham,Beckton Globe Library,E6 5JQ,"1 Kingsford Way, London E6 5JQ","Wed,10:00–20:00 Thur, 10:00–20:00 Fri, 10:00–20:00 Sat, 10:00–20:00 Sun, 24h Mon,  (Spring Bank Holiday), 10:00–20:00, Tue, 10:00–20:00"
,Canning Town Library,E16 1EH,"18, Rathbone Market, London E16 1EH",Mon to Sat 8:00 to 20:00
,Custom House Library,E16 3JJ,"Prince Regent Ln, London E16 3JJ",Thur 10:00 to 18: 00 Fri 10:00 to 18:00 Mo: 10:00 to 18:00 Tue 10:00 to 18:00
,East Ham Library,E6 2RT,"328 Barking Rd, London E6 2RT",Mon to Sat 9:00 to 20:00 Sun 9:00 to 16: 00
,The Gate Library,E7 0QH,"Woodgrange Rd, London E7 0QH",Mon to Sat 9:00 to 20:00
,Green Street Library,E13 9AR,"337-341 Green St, London E13 9AR",Mon to Sat 10:00 to 20:00
,Manor Park Library,E12 5BS,"685-693 Romford Rd, London E12 5BS",Mon to Sat 10:00 to 20:00
,North Woolwich Library,E16 2LJ,"5 Pier Rd, London E16 2LJ",Mon to Sat 9:00 to 17:30
,Plaistow Library,E13 9HN,"North St, London E13 9HN",Mon to Sat 9:30 to 17:30
,Stratford Library,E15 1EL,"3 The Grove, London E15 1EL",Mon to Sat 9:00 to 20:00 Sun 12:00 to 16: 00
,Trinity Centre,E12 6SG,"Trinity Centre, East Ave, London E12 6SG",Mon to Sun 9:00 to 20:00
,Katherine Road Community Centre,E7 8PW,"254 Katherine Rd, London E7 8PW",Mon to Fri 9:00 to 17:00
,Woodman Community Centre,E16 2NF,"32A Woodman St, London E16 2NF",
,Jack Cornwell Community Centre,E12 5NN,"Jack Cornwell St, London E12 5NN",Mon to Sun 9:00 to 23:00
,Forest Lane Lodge,E7 9DE,"Magpie Cl, London E7 9DE",Mon to Sun 9:00 to 23:00
Merton,Colliers Wood Library,SW19 2HR,"105-109 High Street Colliers Wood, London SW19 2HR",
,Mitcham Library,CR4 2YR,"157 London Rd, Mitcham CR4 2YR",Mon to Sat 9:00 to 17:30
,Morden Library,SM4 5DX,"Merton Civic Centre, London Rd, Morden SM4 5DX",
,Pollards Hill Library,CR4 1LT,"S Lodge Ave, Mitcham CR4 1LT",
,Raynes Park Library,SW20 8BA,"21 Approach Rd, Raynes Park, London SW20 8BA",
,West Barnes Library,KT3 6JF,"Station Rd, New Malden KT3 6JF",
,Wimbledon Library,SW19 7NB,"Wimbledon Reference Library, 35 Wimbledon Hill Rd, London SW19 7NB",
Lewisham,Blackheath Village community library service,SE3 9LA,"The Reminiscence Centre, 11 Blackheath Village, Blackheath, London, SE3 9LA",
,Catford Library,SE6 4JU,"23-24 Winslade Way, Catford Centre, SE6 4JU",
,Crofton Park Library,SE4 2AG,"Crofton Park Library, Brockley Road, Crofton Park, London, SE4 2AG",
,The Library at Deptford Lounge,SE8 4RH,"Library, Deptford Lounge, 9 Giffin St, London, SE8 4RH",
,Downham Library,BR1 5EP,"Downham Library, 7–9 Moorside Road, Bromley, BR1 5EP",
,Forest Hill Library,SE23 3HZ,"Forest Hill Library, Dartmouth Road, London, SE23 3HZ",
,Grove Park Library,SE12 0BX,"Grove Park Library, Somertrees Avenue, Grove Park, London, SE12 0BX",
,Lewisham Library,SE13 6LG,"Lewisham Library, 199-201 Lewisham High St, London, SE13 6LG",
,Manor House Library, SE13 5SY,"Manor House Library, 34 Old Road, London, SE13 5SY",
,New Cross Library,SE14 6AS,"New Cross Library, 283 285 New Cross Road, London, SE14 6AS",
,Sydenham Library,SE26 5SE,"Sydenham Library, Sydenham Road, London, SE26 5SE",
,Corbett Community Library,SE6 1RQ,"Torridon Road, London, SE6 1RQ",
Lambeth,Brixton Tate Library,SW2 1JQ,"Chaplin House, London SW2 1JQ",
,Carnegie Library,SE24 0DG,"192 Herne Hill Road, SE24 0DG",
,Clapham Library,SW4 7DB,"Mary Seacole Centre, 91 Clapham High Street, SW4 7DB",
,Durning Library,SE11 4HF,"167 Kennington Lane, SE11 4HF",
,Lambeth Archives,SE5 9QY,"Lambeth Archives, 52 Knatchbull Road, SE5 9QY",
,Minet Library,SE5 9QY,"52 Knatchbull Road, SE5 9QY",
,Streatham Library,SW16 1PN,"63 Streatham High Road,SW16 1PN",
,Tate South Lambeth Library,SW8 1QP,"180 South Lambeth Road, SW8 1QP",
,Upper Norwood Library,SE19 1TQ,"39 Westow Hill, SE19 1TQ",
,Waterloo Library,SE1 7QP,"1 Kennington Road, SE1 7QP",
,West Norwood Library,SE27 9JX,"1-5 Norwood High Street, SE27 9JX",
,Oasis Waterloo,SE1 7QP,"1 Kennington Road, London SE1 7QP",
,West London Mission,SE11 4NT,"25A Wincott Street,Kennington, London SE11 4NT",
,Clapham Park Estate,SW4 8HH,"32 Plummer Rd, London SW4 8HH",
,Ashmole Estate Tenants' Hall,SW8 1PL,"113 Claylands Rd, London SW8 1PL",
Kingston,Kingston Library,KT1 2PS,"Fairfield Rd, Kingston upon Thames KT1 2PS",
,Kingston URC Church,KT1 1HZ,Eden Street KT1 1HZ,
,CLICK Cafe,KT1 2TW,"13 Geneva Road, KT1 2TW",
,Tudor Drive Library,KT2 5QH,"192 Tudor Drive, KT2 5QH",
,Kingston and Surbiton Labour Party,KT2 6QW,160 London Road KT2 6QW,
,Kingsnympton Youth & Community Centre,KT2 7RW,Kingsnympton Park KT2 7RW,
,Surbiton Assembly Rooms,KT1 2JT,"13 - 15 Surbiton Crescent, KT1 2JT",
,Surbiton Library,KT6 6AG,Ewell Road KT6 6AG,
,The cornerHOUSE Arts Centre,KT6 7SB,"116 Douglas Road, Surbiton, KT6 7SB",
,Tolworth Community Library,KT6 7DJ,"The Broadway, Surbiton, KT6 7DJ",
,Sunray Community Centre,KT5 9QP,"Knollmead, Worcester Park, Tolworth, KT5 9QP",
,Dickerage Sports & Community Centre,KT3 3EQ,"Dickerage Road, New Malden KT3 3EQ",
,New Malden Library,KT3 3LY,"Kingston Rd,, New Malden, KT3 3LY",
,Square 1 Cafe New Malden,KT3 3PE,"Kingston Environment Centre, 1 Kingston Road, New Malden KT3 3PE",
,Old Malden Library,KT4 7RD,"Church Rd, Worcester Park, KT4 7RD",
,New Malden Baptist Church,KT3 5BE,"1A Westbury Rd, New Malden KT3 5BE",
,New Malden Methodist Church,KT3 4BY,"49 High St, New Malden KT3 4BY",
,"St James Parish Church, New Malden",KT3 5QE,"Bodley Rd, New Malden KT3 5QE",
,New Malden United Reformed Church,KT3 6DR,"Malden Rd, New Malden KT3 6DR",
,Saint Joseph's Roman Catholic Church,KT3 3QW,"1 Montem Rd, New Malden KT3 3QW",
,"St Mary's Centre, Chessington",KT9 2DR,"Church Lane, KT9 2DR",
,Square 1 Cafe Chessington,KT9 2JS,"Chessington Sports Centre, Garrison Lane, Chessington KT9 2JS",
,The Hook Centre,KT9 1AE,"9 Green End, Chessington KT9 1AE",
Kensington and Chelsea,Bay 20,W10 6JG,"71 St Marks Road, W10 6JG",
,Brompton Library,SW5 0BS,"210 Old Brompton Rd, London SW5 0BS",
,Chelsea Library,SW3 5EZ,"Chelsea Old Town Hall, King's Rd, London SW3 5EZ",
,Chelsea Theatre ,SW10 6AH,"7 Worlds End Place, Chelsea, SW10 6AH",
,Dalgarno Trust ,W10 5QB,"1 Webb Close London, W10 5QB",
,Early help - family hubs,SW10 0ST,"Cheyne Children Centre, 10 Thorndike Road. SW10 0ST",
,Early help - family hubs,W10 5PE,"Holmfield House Children Centre, Golborne Road  W10 5PE",
,Kensal Library,W10 5PF,"The Lodge, 20 Golborne Rd, London W10 5PF",
,Kensington Central Library,W8 7RX,"12 Phillimore Walk, London W8 7RX",
,Latymer Christian Church in Partnership with The Space,W10 6SU,"116 Bramley Road, W10 6SU",
,North Kensington Library,W11 1PZ,"108 Ladbroke Grove, London W11 1PZ",
,Notting Hill Gate Library,W2 4EW,"1 Pembridge Square, London W2 4EW",
,Rugby Portobello Trust,W11 4EY,"221 Walmer Road, W11 4EY ",
,Salvation Army Church,W11 1LU,"205 Portobello Road, W11 1LU",
,SMART,SW10 0JN,"The Basement, 15 Gertrude Street, London, SW10 0JN",
,St Cuthberts Centre,SW5 9EB,"51 Philbeach Gardens, London SW5 9EB",
,The Tabernacle,W11 2AY,"35 Powis Square, W11 2AY",
,Venture Community Centre,W10 5YB,"103A Wornington Road, W10 5YB ",
,The Peel Centre,EC1R 0HU,"3 Corners Learning Centre, Northampton Road, London",
,Brunswick Estate Community Centre,EC1V 0HP,"Ground Floor, Mulberry Court, Tompion Street, London",
,Museum Of The Order Of Saint John,EC1V 4JJ,"St John's Gate, St John's Lane, Clerkenwell, London",
,Finsbury Library,EC1V 4NB,"245 St. John Street, London",
,St Luke's Community Centre,EC1V 8AJ,"90, Central Street, London",
,St Clement's Church,EC1V 8DA,King Square,
,Wesley's Chapel and Leysian Mission,EC1Y 1AU,"49, City Road",
,London Irish Centre,NW1 9XB,"50-52 Camden Square, London",
,West Library,N1 1BD,"Bridgeman Road , London",
,South Library,N1 2SL,"115-117 Essex Rd, London",
,St Mary's Church,N1 2TX,Upper Sreet,
,Our Lady & St Joseph's Catholic Church,N1 4AG,"Presbytery 100a, Balls Pond Road, London",
,Mildmay Library,N1 4NA,"21-23 Mildmay Park , London",
,Saint Jude and Saint Paul's Church,N1 4PL,"113, Mildmay Grove North, London",
,The Arc Centre,N1 7DF,98B St Paul Street,
,Chabad Islington Jewish Community Centre,N1 8HX,"Chabad Islington Jewish Community Centre and Art Gallery, 1-3 Elliott’s Place",
,King's Cross Church,N1 9JY,"242 Pentonville Rd, London N1 9JY",
,Claremont Project,N1 9PD,"24-27, White Lion Street",
,N4 Library,N4 2DW,"26 Blackstock Road , London",
,The UCKG HelpCentre,N4 3NX,"UCKG, Rainbow Theatre, 232 Seven Sisters Rd, Finsbury Park, London",
,Hanley Crouch Community Association,N4 4BY,"42 Crouch Hill, London",
,Elizabeth House Community Centre,N5 1ED,"Elizabeth House, 2 Hurlock Street, London",
,Islington Libraries: Central Library,N5 1PF,"2, Fieldway Crescent, Islington, London",
,Highbury Baptist Church,N5 1QL,"Highbury Baptist Church, 40a, Highbury Place, London",
,Christ Church Highbury,N5 1SA,"155 Highbury Grove, Islington, London",
,Sotheby Mews Day Centre,N5 2UT,"2 Sotheby Mews, Sotheby Road",
,Hilldrop Community Centre,N7 0JE,"Community Lane, Hilldrop Road, London",
,Cat and Mouse Library,N7 0JN,"Cat and Mouse Library , 277 Camden Road, London",
,Saint George and All Saints Church,N7 0ND,"Crayford Road, Tufnell Park, London",
,North Library,N7 6JX,"Manor Gardens, London",
,Manor Gardens Centre,N7 6LA,"Manor Gardens Centre, 6-9 Manor Gardens, London",
,Old Fire Station Community Centre,N7 6QT,"84, Mayton Street",
,Andover Estate Community Centre,N7 7RY,"55 Corker Walk, Finsbury Park, London N7 7RY",
,Light Project Pro International,N7 8DE,"The Exchange, Watkinson Road, London",
,Goodinge Community Centre,N7 9EW,"2 Goodinge Rd, Market Estate, 20 North Road, London",
,Mildmay Community Centre,N16 8NA,Woodville Road,
,Hornsey Rise,N19 3AD,"Ashley Road, Upper Holloway",
,Caxton House Community Centre,N19 3RQ,"Main Office, Caxton House Community Centre, 129 St John's Way, London",
,St Andrew's Church,N19 3TN,Whitehall Park (corner with Gladsmuir Rd),
,Hornsey Lane Estate Community Association,N19 3YJ,"Hornsey Lane Estate Community Centre, Hazellville Road, London",
,Whittington Park Community Centre,N19 4RS,"Whittington Park Community Association, Yerbury Road, London",
,Archway Library,N19 5PH,"Hamlyn House, Highgate Hill, London",
,Hargrave Hall Community Centre,N19 5SP,"Hargrave Road, London, London",
Hounslow,Beavers library,TW4 7NW,"The Hub, 103 Salisbury Road, Hounslow",
,Bedfont library,TW14 8DB,"Staines Road, Bedfont, TW14 8DB",
,Brentford library,TW8 8DW,"11F Boston Manor Road, Hounslow, TW8 8DW",
,Chiswick library,W4 2AB,"1 Duke’s Avenue, Chiswick, W4 2AB",
,Cranford library,TW5 9TL,"Bath Road, Hounslow, TW5 9TL",
,Feltham library,TW13 4GU,"210 The Centre, High Street, Feltham, TW13 4GU",
,Hanworth library,TW13 5EG,"Hanworth Air Park Leisure Centre & Library, Uxbridge Road, Hanworth, TW13 5EG",
,Heston library,TW5 0LW,"New Heston Road, Heston, TW5 0LW",
,Hounslow library,TW3 3EB,"First Floor, Hounslow House, 7 Bath Road, Hounslow, TW3 3EB",
,Isleworth library,TW7 7EU,"Isleworth Leisure Centre & Library, Twickenham Road, Isleworth, TW7 7EU",
,Osterley library,TW7 4NB,"11 St Mary’s Crescent, Isleworth, TW7 4NB",
